quaycode,quayname,quaystatus,transportmode,lat,lon,visuallyaccessible,disabledaccessible,compassdirection,validfrom,quayshapetype,baylength,markedkerb,lift,guidelines,groundsurfaceindicator,stopplaceaccessroute,mutationdate,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,tactilegroundsurfaceindicator,ramp,heightwithenvironment,bayentranceangles,ramplength,rampwidth,embaymentwidth,bayexitangles
NL:Q:30009583,Europaplein,available,metro,52.34185336547643,4.891381034378787,true,false,184,2020-05-24T22:00:00Z,langshalte,137,false,true,true,false,false,2021-02-25T11:33:45Z,,8,8,137,3.6,true,true,false,false,,,,0.9,,
NL:Q:30009584,Europaplein,available,metro,52.34124259481861,4.89147590095845,true,true,2,2020-05-24T22:00:00Z,langshalte,137,false,true,true,false,true,2021-02-25T11:33:45Z,,9,9,137,3.7,true,true,false,false,,,,0.9,,
NL:Q:30003137,Dr. H. Colijnstraat,available,bus,52.37527667499467,4.8059644224777855,false,false,193,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30003138,Dr. H. Colijnstraat,available,bus,52.3753404503187,4.806139811691916,false,false,13,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30000116,Station Ganzenhoef,available,bus,52.32237525366133,4.972726004705621,true,true,245,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.8,3,18,1.3,true,true,true,false,0,22,1,1.6,2.8,12.35
NL:Q:30000117,Station Ganzenhoef,available,bus,52.322997134766396,4.9732189119177646,false,true,152,2020-05-24T22:00:00Z,langshalte,20,false,false,false,false,false,2021-02-25T11:33:45Z,0.2,2,2,20,1.5,false,false,false,true,0,,1,1.6,,
NL:Q:30000200,Station Ganzenhoef,available,bus,52.32296774010104,4.975096682571557,false,false,71,2020-05-24T22:00:00Z,haltehaven,16.7,true,false,false,false,true,2021-01-08T13:34:25Z,0.11,3,4,18,1.8,false,false,false,false,0,12,,2,2.8,12.5
NL:Q:30000196,Station Ganzenhoef,available,bus,52.32284762921846,4.974159051219488,false,false,263,2020-05-24T22:00:00Z,langshalte,10,false,false,false,false,true,2021-02-25T11:33:45Z,0.1,1.95,4,10,1.95,false,false,false,true,0.1,,0.8,1.4,,
NL:Q:30000199,Station Ganzenhoef,available,bus,52.323096356103996,4.973320663013499,true,true,312,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,8,2,18,1.2,true,false,true,false,0,14,,2,3.1,8
NL:Q:30001208,Meteorenweg,available,bus,52.41479126598329,4.88139294364891,true,true,294,2020-05-24T22:00:00Z,haltehaven,20,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.5,1.2,18,1.2,true,false,true,true,0.1,9.95,1.5,1.5,2.15,5
NL:Q:30001209,Meteorenweg,available,bus,52.41471899180918,4.8813055785427135,true,true,113,2020-05-24T22:00:00Z,semi-haltehaven,20.4,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.2,6,17,1.2,true,true,true,true,0.18,7.8,3,1.8,2.9,16.2
NL:Q:30002190,Karel Doormanstraat,available,tram,52.378913524041245,4.856982010374177,false,true,323,2019-03-14T00:00:00Z,langshalte,49.9,true,false,false,false,false,2021-01-08T13:34:25Z,0.2,1.5,1.5,45,1.17,false,false,false,true,0.17,,3,1.5,,
NL:Q:30003106,Troelstralaan,available,bus,52.37472413897655,4.801448614113009,true,false,195,2020-05-24T22:00:00Z,semi-haltehaven,38.4,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,3,3,35,0.9,true,true,false,false,0,,,1.2,3,10
NL:Q:30003111,Troelstralaan,available,bus,52.37497868483166,4.802032664308393,true,true,17,2020-05-24T22:00:00Z,haltehaven,30.6,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,3.6,3.6,27.2,1.15,true,true,false,false,0,22,,1.8,2.9,13
NL:Q:30005046,Rembrandtplein,available,tram,52.3662841168068,4.896188057262477,true,true,270,2019-03-14T00:00:00Z,langshalte,60.6,true,false,true,false,true,2021-01-08T13:34:25Z,0.2,1.2,1.6,57.6,1.2,true,true,false,true,0.11,,1.6,1.8,,
NL:Q:30005047,Rembrandtplein,available,tram,52.36622430919379,4.896937517510359,true,true,90,2019-03-14T00:00:00Z,langshalte,60.6,true,false,true,false,true,2021-01-08T13:34:25Z,0.2,1.8,2.7,57.6,1.55,true,true,false,false,0,,,,,
NL:Q:30007168,V. d. Boechorststraat,available,bus,52.323630437395515,4.86116253882127,true,true,270,2020-05-24T22:00:00Z,langshalte,15.3,true,false,true,true,true,2021-01-08T13:34:25Z,0.18,3.3,3.3,11.9,2.2,true,false,true,false,0,,,,,
NL:Q:30007169,V. d. Boechorststraat,available,bus,52.32353776498089,4.862557118720047,true,true,90,2020-05-24T22:00:00Z,semi-haltehaven,12,true,false,true,true,true,2021-02-25T11:33:45Z,0.17,2.38,4.58,11.9,2.38,true,false,true,false,0,0.01,,,,
NL:Q:30002146,Van L.Stirumstraat,available,bus,52.38541797589179,4.874750992781062,false,false,89,2020-05-24T22:00:00Z,langshalte,17,true,false,false,true,true,2021-01-08T13:34:25Z,0.1,2.5,2.5,0.01,1.1,false,false,true,false,0,,,,,
NL:Q:30002147,Van L.Stirumstraat,available,bus,52.38550969107429,4.875175905674064,false,false,269,2020-05-24T22:00:00Z,langshalte,11,true,false,false,true,true,2021-01-08T13:34:25Z,0.09,5.1,5.1,10.35,0.9,false,false,true,false,0,,,,,
NL:Q:30003145,J. Cabeliaustraat,available,bus,52.38248463847859,4.80409269932762,true,true,269,2020-05-24T22:00:00Z,langshalte,20.4,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.4,2.4,17,1.1,true,true,true,false,0,,,1.8,,
