quaycode,quayname,quaystatus,transportmode,lat,lon,visuallyaccessible,disabledaccessible,compassdirection,validfrom,quayshapetype,baylength,markedkerb,lift,guidelines,groundsurfaceindicator,stopplaceaccessroute,mutationdate,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,tactilegroundsurfaceindicator,ramp,heightwithenvironment,bayentranceangles,ramplength,rampwidth,embaymentwidth,bayexitangles
NL:Q:30009175,James Wattstraat,available,bus,52.351525942582285,4.9228294659470855,true,true,301,2020-05-24T22:00:00Z,langshalte,20.4,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,3,3.9,17,1.8,true,true,true,false,0,,,,,
NL:Q:30009176,James Wattstraat,available,bus,52.35115008513883,4.923244363512828,true,true,121,2020-05-24T22:00:00Z,langshalte,20.6,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.5,3.8,17,1.5,true,true,true,false,0,,,,,
NL:Q:57232530,L. Armstrongstraat,outofuse,bus,52.34239169240396,4.82484097403545,false,false,261,2019-03-01T00:00:00Z,langshalte,20.68,true,false,false,false,true,2021-02-25T11:33:45Z,0.09,2.88,3.1,0.01,1.75,false,false,false,false,0,0.01,,,,
NL:Q:57232540,L. Armstrongstraat,outofuse,bus,52.34244937935428,4.825632667435789,false,false,82,2019-03-01T00:00:00Z,langshalte,11.45,false,false,false,false,true,2021-02-25T11:33:45Z,0.1,2.36,2.41,0.01,0.96,false,false,false,false,0,0.01,,,,
NL:Q:30008086,Keizersgracht,outofuse,tram,52.36421018978859,4.892408465723861,false,false,199,2019-03-01T00:00:00Z,langshalte,84.48,false,false,false,false,false,2021-02-25T11:33:45Z,0.1,1.22,1.22,0.01,0.62,false,false,false,false,0.1,0.01,,,,
NL:Q:30008087,Keizersgracht,outofuse,tram,52.364570479680125,4.892595309973942,false,false,19,2019-03-01T00:00:00Z,langshalte,64.4,false,false,false,false,false,2021-02-25T11:33:45Z,0.11,1.16,1.16,0.01,0.6,false,false,false,false,0,0.01,,,,
NL:Q:30009170,Victorieplein,plan,bus,52.34552411323916,4.905340422169105,false,false,161,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30009171,Victorieplein,plan,bus,52.34550745273413,4.905663463019382,false,false,345,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30009009,Victorieplein,plan,bus,52.346167015204124,4.904306145236603,false,false,261,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30009052,Victorieplein,outofuse,bus,52.34629120290439,4.9061099067249865,false,false,76,2019-03-01T00:00:00Z,unknown,0,false,false,false,false,false,2021-02-25T11:33:45Z,,,,,,false,false,false,false,,,,,,
NL:Q:30009048,Victorieplein,available,tram,52.3465927116991,4.905108683248177,false,false,158,2019-03-14T00:00:00Z,langshalte,65,true,false,false,false,false,2021-01-08T13:34:25Z,0.2,1.5,1.5,61,1,false,false,false,false,,,,,,
NL:Q:30009051,Victorieplein,available,tram,52.34642762340945,4.906504673417657,true,true,82,2019-03-14T00:00:00Z,langshalte,65,true,false,true,true,false,2021-01-08T13:34:25Z,0.19,1.8,2.1,61,1.2,true,true,true,true,0.14,,1.75,2.8,,
NL:Q:30009049,Victorieplein,available,tram,52.34637053727102,4.905727477575176,false,false,262,2019-03-14T00:00:00Z,langshalte,64,true,false,false,false,false,2021-01-08T13:34:25Z,0.1,1.23,1.2,61,0.95,false,false,false,true,0.1,,2,1,,
NL:Q:30009050,Victorieplein,available,tram,52.347077550337495,4.904986008970442,false,false,339,2019-03-14T00:00:00Z,langshalte,65,true,false,false,false,false,2021-01-08T13:34:25Z,0.2,1.2,1.6,61,1.1,false,false,false,true,0.07,,2.4,1.9,,
NL:Q:30000186,Geinbrug,available,bus,52.304462398836925,5.0130957855543326,false,false,298,2019-02-07T00:00:00Z,haltehaven,13.2,true,false,false,false,true,2021-02-08T19:49:57Z,0.2,1.1,1.4,11.4,1,false,false,false,false,0,24,,1.2,3.27,16.6
NL:Q:30000187,Geinbrug,available,bus,52.304479213894574,5.01272909880271,false,true,117,2019-02-07T00:00:00Z,haltehaven,16,true,false,false,false,true,2021-02-08T19:49:57Z,0.21,4,4,14,4,false,false,false,true,0.2,19,2,1.5,3.2,15
NL:Q:30000307,Leerdamhof,available,bus,52.30743313408164,4.9740237458576,false,false,32,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,2.7,3,18,1.5,false,false,false,true,1,26,70,1.3,3.2,18
NL:Q:30000314,Leerdamhof,available,bus,52.30537914143138,4.975230476206389,true,true,137,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,4.8,3,18,1.2,true,true,true,true,4,27,60,1.5,3.3,18.35
NL:Q:30001012,Schellingwouderdijk 175,available,bus,52.38583100716305,4.958310770214663,false,false,113,2020-05-24T22:00:00Z,langshalte,24,false,false,false,false,false,2021-01-08T13:34:25Z,0.01,2.7,2.7,0.01,1.1,false,false,false,false,0,,,,,
NL:Q:30001013,Schellingwouderdijk 175,available,bus,52.38573241245457,4.958385167671683,false,false,289,2020-05-24T22:00:00Z,langshalte,24,false,false,false,false,false,2021-01-08T13:34:25Z,0.01,1,1,0.01,1,false,false,false,false,0,,,,,
NL:Q:30002270,Bolstoen,available,bus,52.39178126915967,4.788544955296286,false,false,89,2020-05-24T22:00:00Z,langshalte,13.5,false,false,false,false,true,2021-01-08T13:34:25Z,0.08,1.75,4,13.5,1.5,false,false,false,false,0,,,1.8,,
NL:Q:30002320,Van Hallstraat,available,bus,52.385270870360884,4.867804960871464,true,true,90,2020-05-24T22:00:00Z,langshalte,26,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.2,2.1,22,1.2,true,true,true,false,0,,,,3.5,
NL:Q:30002321,Van Hallstraat,available,bus,52.385418271415304,4.868625801278388,true,false,266,2020-05-24T22:00:00Z,haltehaven,24,true,false,true,true,true,2021-01-08T13:34:25Z,0.19,1.7,3.3,22,1.2,true,true,true,false,0,13,,,2.99,10
NL:Q:30004057,Hemsterhuisstraat,available,bus,52.35918365012985,4.821648077347769,true,true,269,2020-05-24T22:00:00Z,langshalte,18,true,false,true,true,true,2021-01-08T13:34:25Z,0.18,2.7,4.5,18,1.1,true,false,true,false,0,,,1.8,,
NL:Q:30004058,Hemsterhuisstraat,available,bus,52.35912165122814,4.821839708279864,true,true,89,2020-05-24T22:00:00Z,langshalte,14.1,true,false,true,true,true,2021-01-08T13:34:25Z,0.21,6.5,2.4,14.1,2.4,true,false,true,false,0,,,1.8,,
NL:Q:30004167,Langsom,available,bus,52.34169698342187,4.7930359080399985,true,false,237,2020-05-24T22:00:00Z,langshalte,17,true,false,true,true,true,2021-01-08T13:34:25Z,0.21,1.8,2.55,17,0.7,true,true,true,true,0.11,,1,1.2,,
NL:Q:30004168,Langsom,available,bus,52.341780593587536,4.793577739336568,true,true,65,2020-05-24T22:00:00Z,haltehaven,17,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.8,0.9,17,1.5,false,true,false,true,0.08,7,0.9,1.5,3.2,9
NL:Q:30004322,Station Lelylaan,available,metro,52.35817464122276,4.834461658536106,true,true,357,2020-05-24T22:00:00Z,langshalte,120,true,true,true,false,true,2021-02-25T11:33:45Z,0.9,2.8,2.8,120,2.8,true,true,false,false,5,,,,,
NL:Q:30004323,Station Lelylaan,available,metro,52.35766140802442,4.8342625390713785,true,true,181,2020-05-24T22:00:00Z,langshalte,120,true,true,true,false,true,2021-02-25T11:33:45Z,0.9,2.28,2.28,0.01,2.28,true,true,false,false,5,,,2,,
NL:Q:30004417,Matterhorn,available,bus,52.3549884945209,4.77511135103651,false,true,220,2020-05-24T22:00:00Z,langshalte,16,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,2.1,2.1,16,0.6,false,false,false,true,0.18,,,2,,
NL:Q:30004401,Matterhorn,available,tram,52.35383562939221,4.77464286963065,false,false,300,2020-05-24T22:00:00Z,langshalte,60,true,false,false,false,true,2021-01-08T13:34:25Z,0.17,2.4,2.4,59,1.2,false,false,false,false,0,,,,,
NL:Q:30004402,Matterhorn,available,tram,52.353736998320365,4.774688266252587,false,true,112,2020-05-24T22:00:00Z,langshalte,44.8,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,2.4,2.7,44.8,1.2,false,false,false,true,0.2,,3,2,,
NL:Q:30004416,Matterhorn,available,bus,52.35440159377655,4.774591020332503,true,true,57,2020-05-24T22:00:00Z,langshalte,17,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.2,1.8,17,1.2,true,true,true,false,0,,,,,
NL:Q:30004186,Osdorpplein West,available,bus,52.35921036642242,4.8030921113841005,false,false,169,2020-05-24T22:00:00Z,langshalte,20,false,false,false,false,true,2021-01-08T13:34:25Z,0.1,4.8,4.8,20,2.37,false,false,false,false,0,,,,,
NL:Q:30004021,Osdorpplein West,available,tram,52.35914796304388,4.803195693528495,false,true,171,2020-05-24T22:00:00Z,langshalte,71,true,false,false,false,true,2021-01-08T13:34:25Z,0.12,2.25,2.25,56,0.6,false,false,false,false,0,,,1.4,,
NL:Q:30004022,Osdorpplein West,available,tram,52.35960660038441,4.803248376792241,false,false,15,2020-05-24T22:00:00Z,langshalte,70,true,false,false,false,true,2021-01-08T13:34:25Z,0.13,2.3,1.95,56,0.6,false,false,true,false,0,,,1.4,,
NL:Q:30004185,Osdorpplein West,available,bus,52.3593285038766,4.803354798313809,false,false,357,2020-05-24T22:00:00Z,langshalte,20,false,false,false,false,true,2021-02-25T11:33:45Z,0.05,2,2,20,2,false,false,false,false,0,,,,,
NL:Q:30000206,Rhenenhof,available,bus,52.29808086892578,4.97004993938094,true,true,80,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,3,3,18,1.5,true,true,true,true,1,25,62,1.4,3.1,19
NL:Q:30000207,Rhenenhof,available,bus,52.29841593829705,4.970765126865465,true,true,262,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,3,3,18,1.8,true,false,true,true,3.6,17,60,2,2.8,18
NL:Q:30001214,Bovenkruier,available,bus,52.42011427912678,4.884051684648696,true,true,139,2020-05-24T22:00:00Z,haltehaven,20.4,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.8,2.4,17,1.4,true,true,true,false,0,17,,,2.5,13
NL:Q:30001215,Bovenkruier,available,bus,52.420285410343666,4.884137941863954,true,true,327,2020-05-24T22:00:00Z,haltehaven,20.4,true,false,true,true,false,2021-01-08T13:34:25Z,0.2,2.9,2.7,17,1.8,true,true,true,true,3.37,25,8.96,1.5,2.8,12
NL:Q:30006063,Leidseplein,available,tram,52.364762786626386,4.880686190800021,true,true,320,2020-05-24T22:00:00Z,langshalte,60,true,false,true,true,false,2021-01-08T13:34:25Z,0.22,1.7,1.7,52,1.32,true,true,true,true,0.1,,4,2.3,,
NL:Q:30006062,Leidseplein,available,tram,52.36304869166123,4.883392437144675,false,false,160,2020-05-24T22:00:00Z,langshalte,69,false,false,false,false,true,2021-01-08T13:34:25Z,0.24,1.9,1.45,66,1,false,false,false,false,0.02,,,,,
NL:Q:30006089,Leidseplein,available,tram,52.363146141385116,4.8809542325183255,true,true,245,2020-05-24T22:00:00Z,langshalte,66,true,false,true,true,true,2021-01-08T13:34:25Z,0.23,2.4,2.4,61,1.2,true,true,true,true,0.15,,5,3,,
NL:Q:30006067,Leidseplein,available,tram,52.36430510037487,4.882952398228031,true,true,63,2020-05-24T22:00:00Z,langshalte,64,true,true,true,true,true,2021-01-08T13:34:25Z,0.21,10,10,44,1.65,true,false,true,true,0,,,,,
NL:Q:30007148,Weerdestein,available,bus,52.33216959058593,4.8883055559016295,false,false,270,2020-05-24T22:00:00Z,haltehaven,28,true,false,false,false,true,2021-01-08T13:34:25Z,0.1,1.82,2.8,0.01,0.9,false,false,false,false,0,10,,,2.9,27.5
NL:Q:30007149,Weerdestein,available,bus,52.33204506629621,4.888615046461882,false,false,90,2020-05-24T22:00:00Z,semi-haltehaven,30.04,true,false,false,false,true,2021-02-25T11:33:45Z,0.13,1.64,3.6,0.01,0.59,false,false,false,false,0,0.01,,,,
NL:Q:30008266,Rietlandpark,available,bus,52.37377101871768,4.932215087135078,false,false,315,2019-02-07T00:00:00Z,semi-haltehaven,27,false,false,false,false,false,2021-01-08T13:34:25Z,0.18,4,4,18,3.5,false,false,false,false,0.03,19,,,,14
NL:Q:30008261,Rietlandpark,available,tram,52.372999136879734,4.934836851908211,false,true,75,2020-05-24T22:00:00Z,langshalte,29,true,false,false,false,true,2021-01-08T13:34:25Z,0.19,2.55,2.55,28.9,0.9,false,false,false,false,0,,,,,
NL:Q:30008238,Rietlandpark,available,tram,52.37319247627941,4.93368948176097,true,true,289,2020-05-24T22:00:00Z,langshalte,97,false,true,true,true,false,2021-01-08T13:34:25Z,0.4,12.4,14.69,96.9,1.6,true,true,true,false,15,,,,,
NL:Q:30008239,Rietlandpark,available,tram,52.37299610440384,4.9340439184812,true,true,109,2020-05-24T22:00:00Z,langshalte,57,false,true,true,true,false,2021-01-08T13:34:25Z,0.4,2.8,8.4,56.9,1.6,true,true,true,false,15,,,,,
NL:Q:30008260,Rietlandpark,available,tram,52.37297065930098,4.934440660436267,true,true,254,2020-05-24T22:00:00Z,langshalte,29,true,false,true,false,true,2021-01-08T13:34:25Z,0.19,5.5,14,28.9,1.8,false,true,false,false,0,,,2.5,,
NL:Q:30009124,Cornelis Troostplein,expired,tram,52.34905247011089,4.891359311372201,false,false,191,2018-11-15T00:00:00Z,unknown,0,false,false,false,false,false,2021-02-25T11:33:45Z,,,,,,false,false,false,false,,,,,,
NL:Q:30009123,Cornelis Troostplein,expired,tram,52.34939448062773,4.891472904097881,false,false,6,2018-11-15T00:00:00Z,unknown,0,false,false,false,false,false,2021-02-25T11:33:45Z,,,,,,false,false,false,false,,,,,,
NL:Q:30009119,Cornelis Troostplein,available,tram,52.3499786571887,4.8914663784630745,false,false,188,2020-05-24T22:00:00Z,langshalte,58,false,false,false,false,false,2021-01-08T13:34:25Z,0.1,1.2,1.2,56,0.8,false,false,false,true,0.1,,2,1.58,,
NL:Q:30009120,Cornelis Troostplein,available,tram,52.350455723350436,4.8916371744160925,false,false,8,2020-05-24T22:00:00Z,langshalte,58,false,false,false,false,false,2021-01-08T13:34:25Z,0.1,1.2,1.2,46,0.9,false,false,false,false,0.07,,,,,
NL:Q:30008083,Jan Schaeferbrug,available,bus,52.376589267049226,4.921964908657046,true,true,24,2020-05-24T22:00:00Z,semi-haltehaven,19,true,false,true,true,true,2021-01-08T13:34:25Z,0.18,1.2,3.4,14,1.2,true,true,true,false,0,,,,3.3,9.96
NL:Q:30008084,Jan Schaeferbrug,available,bus,52.376525143610905,4.9216571815977,true,true,202,2020-05-24T22:00:00Z,semi-haltehaven,18,true,false,true,true,true,2021-01-08T13:34:25Z,0.18,3.8,1.6,14,1.6,true,true,true,false,0.03,10.6,,,3.25,
NL:Q:30004142,Cornelis Lelylaan,available,bus,52.358090794451854,4.835754515684685,false,false,274,2018-11-15T00:00:00Z,semi-haltehaven,17.5,true,false,false,false,true,2021-01-08T13:34:25Z,0.16,3.5,2,17.5,0.01,false,false,false,false,,12,,1.8,4,
NL:Q:30008294,Veelaan,expired,bus,52.36618883403312,4.940191922157085,false,false,266,2018-11-15T00:00:00Z,unknown,0,false,false,false,false,false,2021-02-25T11:33:45Z,,,,,,false,false,false,false,,,,,,
NL:Q:30008013,Azartplein,available,tram,52.37656774495978,4.937326389793985,false,true,168,2019-03-14T00:00:00Z,langshalte,23.9,false,false,false,false,false,2021-01-08T13:34:25Z,0.18,2.9,3.2,23.9,0.7,false,false,false,true,0.16,,2,1.35,,
NL:Q:30008014,Azartplein,available,tram,52.376837476489136,4.937353024923469,false,true,355,2019-03-14T00:00:00Z,langshalte,23.9,false,false,false,false,false,2021-01-08T13:34:25Z,0.18,1.2,1.1,23.9,0.8,false,false,false,true,0.17,,2,1.2,,
NL:Q:30004432,Oeverpad,available,bus,52.36489098470577,4.804984690915738,true,false,331,2020-05-24T22:00:00Z,haltehaven,43.8,true,false,true,true,true,2021-02-25T11:33:45Z,0.2,1.2,2.2,41.3,1.5,true,true,true,false,0,10,,1.8,2.5,8
NL:Q:30004433,Oeverpad,available,bus,52.36446750285505,4.804770022005189,true,true,152,2020-05-24T22:00:00Z,haltehaven,43.8,true,false,true,true,true,2021-02-25T11:33:45Z,0.2,2.1,2.1,41.3,0.01,true,true,false,false,0,13,,1.8,2.7,8
NL:Q:30004436,Oeverpad,available,bus,52.365006012374494,4.8046161307931055,false,false,169,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30004437,Oeverpad,available,bus,52.36510508834473,4.804658875618854,false,false,349,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30004072,Baden Powellweg,available,bus,52.363201815758266,4.78887197900314,false,false,242,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30004073,Baden Powellweg,available,bus,52.36314900564551,4.789092912552148,false,false,62,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30001105,Mariëndaal,expired,bus,52.402502931358356,4.943631450387734,false,false,112,2019-02-07T00:00:00Z,langshalte,36.17,true,false,false,false,true,2021-02-25T11:33:45Z,0.1,2.9,6.19,0.01,1.55,false,false,false,false,0,0.01,,,,
NL:Q:30005090,Westerdoksdijk,available,bus,52.38579314317984,4.893239870785453,true,true,338,2020-05-24T22:00:00Z,semi-haltehaven,23.8,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,5,5,22.1,0.9,true,true,true,true,0.2,25,3,1.5,3,17
NL:Q:30005091,Westerdoksdijk,available,bus,52.38505557432739,4.893101203494891,true,true,200,2020-05-24T22:00:00Z,semi-haltehaven,23.8,true,false,true,false,true,2021-01-08T13:34:25Z,0.19,3,3,22.1,1.4,true,true,false,false,0,,,2.3,2.9,13.8
NL:Q:30001140,Chrysantenstraat,outofuse,bus,52.392174773047856,4.906434644884203,false,false,301,2019-03-01T00:00:00Z,langshalte,18,false,false,false,false,true,2021-02-25T11:33:45Z,0.08,1.5,2,0.01,1.5,false,false,false,false,0,0.01,,,,
NL:Q:30001273,Chrysantenstraat,outofuse,bus,52.392102517015786,4.9063472833450845,false,false,121,2019-03-01T00:00:00Z,langshalte,18,false,false,false,false,true,2021-02-25T11:33:45Z,0.07,2.96,3,0.01,1.65,false,false,false,false,0,0.01,,,,
NL:Q:30004062,Johan Huizingalaan,available,tram,52.357837437482104,4.825834249406149,true,true,269,2020-05-24T22:00:00Z,langshalte,33,true,false,true,true,false,2021-01-08T13:34:25Z,0.35,1.8,1.8,33,0.9,true,false,false,false,4,,,1.6,,
NL:Q:30004063,Johan Huizingalaan,available,tram,52.35777647557487,4.826246049388097,true,false,89,2020-05-24T22:00:00Z,langshalte,31,true,false,true,true,false,2021-01-08T13:34:25Z,0.35,1.8,1.8,31,1.2,true,true,false,false,4,,,1.6,,
NL:Q:30004140,Sierplein,available,bus,52.35516591434295,4.827277208353966,true,false,179,2020-05-24T22:00:00Z,langshalte,45.6,true,false,true,true,true,2021-01-08T13:34:25Z,0.21,0.9,0.9,45.6,0.9,true,true,true,true,0.12,,2.47,2.15,,
NL:Q:30004141,Sierplein,available,bus,52.35540020767468,4.82740636088358,true,false,359,2020-05-24T22:00:00Z,langshalte,36.9,true,false,true,true,true,2021-01-08T13:34:25Z,0.21,1.3,1.9,36.9,1.15,true,true,true,true,0.1,,0.6,1.2,,
NL:Q:30004423,Hoekenes,expired,bus,52.35266028027601,4.803501252719205,false,false,67,2019-03-01T00:00:00Z,unknown,0,false,false,false,false,false,2021-02-25T11:33:45Z,,,,,,false,false,false,false,,,,,,
NL:Q:30004411,Hoekenes,available,tram,52.35247277946224,4.8019331877153295,false,false,259,2020-05-24T22:00:00Z,langshalte,67,false,false,false,true,true,2021-01-08T13:34:25Z,0.17,1.95,1.95,61,1.2,false,false,true,true,0.22,,3,1.2,,
NL:Q:30004412,Hoekenes,available,tram,52.35252061758803,4.802519671969694,false,false,79,2020-05-24T22:00:00Z,langshalte,67,true,true,false,false,true,2021-01-08T13:34:25Z,0.17,1.95,1.95,61,1.2,false,false,false,true,0.2,,3,2,,
NL:Q:57352120,Abcoudermeer,available,bus,52.2807031725881,4.966314992813395,false,false,165,2020-05-24T22:00:00Z,langshalte,12.6,true,false,false,false,false,2021-01-08T13:34:25Z,0.09,0.9,0.9,12.1,0.9,false,false,false,false,0.09,,,,,
NL:Q:57352130,Abcoudermeer,available,bus,52.2813496484096,4.966133023686911,false,false,322,2020-05-24T22:00:00Z,langshalte,12.6,true,false,false,false,false,2021-01-08T13:34:25Z,0.08,0.9,0.9,1.2,0.9,false,false,false,false,0.38,,,,,
NL:Q:30001046,Bloemend.gouw 69,available,bus,52.40334266274371,5.018124391550705,false,false,49,2019-02-07T00:00:00Z,bermhalte,0.01,false,false,false,false,false,2021-01-08T13:34:25Z,0.01,0.01,0.01,0.01,0.01,false,false,false,false,0,0.01,,,,
NL:Q:30001047,Bloemend.gouw 69,available,bus,52.4032431148777,5.017904803416825,false,false,229,2019-02-07T00:00:00Z,bermhalte,0.01,false,false,false,false,false,2021-01-08T13:34:25Z,0.01,0.01,0.01,0.01,0.01,false,false,false,false,0,0.01,,,,
NL:Q:30001377,Molenwijk,available,bus,52.41826685239607,4.8935539022402805,false,false,304,2020-05-24T22:00:00Z,langshalte,24,true,false,false,true,true,2021-01-08T13:34:25Z,0.12,2.1,1.5,16,1.45,false,false,true,false,0,,,,,
NL:Q:30001424,Molenwijk,available,bus,52.41820363567864,4.893481109095867,false,false,119,2020-05-24T22:00:00Z,langshalte,18.3,true,false,false,false,true,2021-02-25T11:33:45Z,0.1,1.2,1.2,18.3,1.4,false,false,false,false,0,,,1,,
NL:Q:30001359,Molenwijk,available,bus,52.41806937879403,4.893614901356503,false,false,136,2020-05-24T22:00:00Z,langshalte,23.3,false,false,false,false,true,2021-01-08T13:34:25Z,0.07,1.15,1.15,0.01,0.4,false,false,false,false,0,,,,,
NL:Q:30001361,Molenwijk,available,bus,52.41802450399144,4.8936301009713965,false,false,136,2020-05-24T22:00:00Z,langshalte,23,true,false,false,false,false,2020-12-22T16:24:26Z,0.07,1.15,1.15,22.85,1.15,false,false,false,false,0,,,,,
NL:Q:30001362,Molenwijk,available,bus,52.41797064197791,4.893645400709504,false,false,136,2020-05-24T22:00:00Z,langshalte,34,true,false,false,false,true,2021-01-08T13:34:25Z,0.12,1.5,1.5,35,0.9,false,false,false,false,0,,,,,
NL:Q:30006019,Ten Katestraat,available,tram,52.36591833949486,4.867356205137924,false,true,77,2019-03-14T00:00:00Z,langshalte,36,true,false,false,false,false,2021-01-08T13:34:25Z,0.15,1.44,1.3,34,0.88,false,false,false,true,0.08,,3,1.9,,
NL:Q:30006020,Ten Katestraat,available,tram,52.36606381168932,4.8677362398447075,false,true,255,2019-03-14T00:00:00Z,langshalte,35,true,false,false,false,false,2021-01-08T13:34:25Z,0.18,1.1,1.44,35,0.8,false,false,false,true,0.08,,3,1.9,,
NL:Q:30007051,Haarlemmermeerstation,available,bus,52.3490400465752,4.857383000413188,true,false,179,2020-05-24T22:00:00Z,langshalte,54,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.2,1.5,50,0.9,true,true,false,false,,,,1.5,,
NL:Q:30007050,Haarlemmermeerstation,plan,bus,52.34883360162192,4.857444171504334,false,false,185,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30007061,Haarlemmermeerstation,expired,tram,52.34895955513741,4.857472021236718,false,false,183,2019-03-14T00:00:00Z,langshalte,35,false,false,false,false,false,2021-02-25T11:33:45Z,0.05,1.8,1.8,35,1.1,false,false,false,false,0,,,,,
NL:Q:30007062,Haarlemmermeerstation,available,tram,52.349220515121964,4.85754228984844,false,false,356,2020-05-24T22:00:00Z,langshalte,54,false,false,false,false,false,2021-01-08T13:34:25Z,0.2,1.2,1.8,50,0.9,false,false,false,true,0.07,,0.5,1.2,,
NL:Q:30007116,Haarlemmermeerstation,available,bus,52.34922097488877,4.857645021464134,false,false,356,2020-05-24T22:00:00Z,langshalte,54,true,false,false,false,false,2021-01-08T13:34:25Z,0.2,0.9,1.5,50,0.9,false,false,false,true,0.03,,1,1,,
NL:Q:57142160,Haarlemmermeerstation,available,bus,52.349020823225814,4.857104373316158,false,false,149,2020-05-24T22:00:00Z,langshalte,54,false,false,false,false,true,2021-01-08T13:34:25Z,0.2,1.6,1.6,50,0.9,false,false,false,false,0,,,,,
NL:Q:30007057,Haarlemmermeerstation,available,bus,52.349138381091734,4.8572644128005615,false,false,167,2020-05-24T22:00:00Z,langshalte,32,false,false,false,false,false,2021-01-08T13:34:25Z,0.2,0.9,1.6,30,0.9,false,false,false,false,0,,,,,
NL:Q:30007058,Haarlemmermeerstation,expired,bus,52.34883248446993,4.8571946826267896,false,false,151,2019-02-07T00:00:00Z,langshalte,30,false,false,false,false,true,2021-02-25T11:33:45Z,0.15,3,4.5,0.01,3,false,false,false,false,0,0.01,,,,
NL:Q:30007059,Haarlemmermeerstation,expired,bus,52.34908419442834,4.857206353132277,false,false,156,2019-03-14T00:00:00Z,langshalte,35,false,false,false,false,false,2021-02-25T11:33:45Z,0.09,2.1,2.4,33,0.9,false,false,false,false,0,,,,,
NL:Q:57252490,Meibergdreef,available,bus,52.29369484487187,4.952589099460602,false,false,138,2020-05-24T22:00:00Z,semi-haltehaven,16.72,true,false,false,false,true,2021-01-08T13:34:25Z,0.08,1.8,1.5,16.72,0.85,false,false,false,false,0,31.57,,1.2,3.6,19
NL:Q:57252500,Meibergdreef,available,bus,52.293847955486214,4.952675552609729,false,false,318,2020-05-24T22:00:00Z,haltehaven,18,true,false,false,true,true,2021-01-08T13:34:25Z,0.07,2.1,1.5,18,0.6,false,false,false,false,0.09,20,,1.2,3.1,18
NL:Q:30000171,Maasdrielhof,available,bus,52.302169785536556,4.964836198779498,true,true,138,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.7,2.2,18,1.4,true,true,true,false,3.6,24,64,2,3.2,16
NL:Q:30000174,Maasdrielhof,available,bus,52.30178588693392,4.96555823401538,true,true,317,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.1,2.1,18,1.5,true,true,true,true,3.6,26.5,68,1.8,3.2,18
NL:Q:30001175,Staghof,available,bus,52.41372852150551,4.92254495191579,false,false,295,2020-05-24T22:00:00Z,haltehaven,24,true,false,false,false,true,2021-01-08T13:34:25Z,0.06,2.1,3,24.3,1.4,false,false,false,false,0.07,7.5,,1.5,2.6,13
NL:Q:30001176,Staghof,available,bus,52.413406363608665,4.922901081758492,false,false,110,2020-05-24T22:00:00Z,haltehaven,21,true,false,false,false,true,2021-01-08T13:34:25Z,0.07,1.8,1.8,23.6,0.6,false,false,false,false,0.05,9.5,,,2.55,9.5
NL:Q:30004305,Westmallepad,available,bus,52.347537319496226,4.805344458678446,false,true,331,2020-05-24T22:00:00Z,langshalte,18.5,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,5,5,17,1,false,false,false,false,0,,,,,
NL:Q:30004306,Westmallepad,available,bus,52.34701605999833,4.805351292917471,false,true,152,2020-05-24T22:00:00Z,langshalte,18.5,true,false,false,true,true,2021-01-08T13:34:25Z,0.23,1.2,1.2,17,1.2,false,false,true,false,0,,,,,
